crop,year,yield_t_ha
peas,1986,0.4818
peas,1987,0.4822
peas,1988,0.4831
peas,1989,0.4867
peas,1990,0.4955
peas,1991,0.4961
peas,1992,0.5007
peas,1993,0.5058
peas,1994,0.5358
peas,1995,0.5435
peas,1996,0.5518
peas,1997,0.5513
peas,1998,0.5833
peas,1999,0.6767
peas,2000,0.5756
peas,2001,0.5959
peas,2002,0.5884
peas,2003,0.5934
peas,2004,0.5903
peas,2005,0.5627
peas,2006,0.5792
peas,2007,0.5899
peas,2008,0.6036
peas,2009,0.6233
peas,2010,0.6522
peas,2011,0.6921
peas,2012,0.6562
peas,2013,0.6794
peas,2014,0.6599
peas,2015,0.6614
peas,2016,0.6562
peas,2017,0.6771
peas,2018,0.6721
peas,2019,0.6714
peas,2020,0.642
peas,2021,0.6557
peas,2022,0.6568
peas,2023,0.6713
peas,2024,0.6967
pigeonpeas,1961,0.4082
pigeonpeas,1962,0.5495
pigeonpeas,1963,0.4869
pigeonpeas,1964,0.4068
pigeonpeas,1965,0.4484
pigeonpeas,1966,0.549
pigeonpeas,1967,0.5237
pigeonpeas,1968,0.5348
pigeonpeas,1969,0.2951
pigeonpeas,1970,0.5839
pigeonpeas,1971,0.5462
